Size	Density	Representation	Method	AverageTime(ms)
160	0.40	Matrix	DFS	40.8300
160	0.40	List	DFS	5.0700
160	0.55	Matrix	BFS	46.5500
160	0.55	List	BFS	7.2600
160	0.55	Matrix	DFS	45.6300
160	0.55	List	DFS	6.0700
160	0.70	Matrix	BFS	40.6500
160	0.70	List	BFS	8.2500
160	0.70	Matrix	DFS	40.0900
160	0.70	List	DFS	7.9200
180	0.10	Matrix	BFS	25.2400
180	0.10	List	BFS	2.0400
180	0.10	Matrix	DFS	25.9600
180	0.10	List	DFS	2.0500
180	0.25	Matrix	BFS	41.5500
180	0.25	List	BFS	5.0000
180	0.25	Matrix	DFS	41.7800
180	0.25	List	DFS	4.3500
180	0.40	Matrix	BFS	56.9000
180	0.40	List	BFS	7.0300
180	0.40	Matrix	DFS	57.2200
180	0.40	List	DFS	6.9900
180	0.55	Matrix	BFS	62.1800
180	0.55	List	BFS	10.1700
180	0.55	Matrix	DFS	64.3500
180	0.55	List	DFS	9.3000
180	0.70	Matrix	BFS	60.6100
180	0.70	List	BFS	12.0500
180	0.70	Matrix	DFS	59.5700
180	0.70	List	DFS	11.2500
200	0.10	Matrix	BFS	35.6700
200	0.10	List	BFS	3.0300
200	0.10	Matrix	DFS	35.7300
200	0.10	List	DFS	3.0300
200	0.25	Matrix	BFS	55.9300
200	0.25	List	BFS	6.5600
200	0.25	Matrix	DFS	56.3600
200	0.25	List	DFS	6.0100
200	0.40	Matrix	BFS	77.4500
200	0.40	List	BFS	10.0100
200	0.40	Matrix	DFS	77.9100
200	0.40	List	DFS	9.1600
200	0.55	Matrix	BFS	83.8800
200	0.55	List	BFS	13.0100
200	0.55	Matrix	DFS	84.4400
200	0.55	List	DFS	12.0800
200	0.70	Matrix	BFS	82.9200
200	0.70	List	BFS	17.1200
200	0.70	Matrix	DFS	86.2200
200	0.70	List	DFS	15.9800
