Size	Density	Representation	Method	AverageTime(ms)
160	0,40	Matrix	DFS	114,5500
160	0,40	List	DFS	19,0000
160	0,55	Matrix	BFS	139,4000
160	0,55	List	BFS	25,2500
160	0,55	Matrix	DFS	136,8500
160	0,55	List	DFS	29,0500
160	0,70	Matrix	BFS	123,1500
160	0,70	List	BFS	33,0000
160	0,70	Matrix	DFS	128,9000
160	0,70	List	DFS	40,2000
180	0,10	Matrix	BFS	77,7500
180	0,10	List	BFS	10,6000
180	0,10	Matrix	DFS	66,3000
180	0,10	List	DFS	11,7500
180	0,25	Matrix	BFS	119,4500
180	0,25	List	BFS	18,2500
180	0,25	Matrix	DFS	138,9000
180	0,25	List	DFS	19,3000
180	0,40	Matrix	BFS	156,4500
180	0,40	List	BFS	28,0500
180	0,40	Matrix	DFS	142,0000
180	0,40	List	DFS	25,8000
180	0,55	Matrix	BFS	176,1500
180	0,55	List	BFS	25,1500
180	0,55	Matrix	DFS	167,5000
180	0,55	List	DFS	38,7500
180	0,70	Matrix	BFS	181,9500
180	0,70	List	BFS	35,8000
180	0,70	Matrix	DFS	140,0000
180	0,70	List	DFS	43,8500
200	0,10	Matrix	BFS	100,5500
200	0,10	List	BFS	8,5000
200	0,10	Matrix	DFS	90,3000
200	0,10	List	DFS	11,4500
200	0,25	Matrix	BFS	158,1500
200	0,25	List	BFS	24,8500
200	0,25	Matrix	DFS	158,2000
200	0,25	List	DFS	16,0500
200	0,40	Matrix	BFS	217,4000
200	0,40	List	BFS	30,3500
200	0,40	Matrix	DFS	227,4500
200	0,40	List	DFS	27,3500
200	0,55	Matrix	BFS	230,4500
200	0,55	List	BFS	48,9000
200	0,55	Matrix	DFS	246,3000
200	0,55	List	DFS	57,5500
200	0,70	Matrix	BFS	222,6500
200	0,70	List	BFS	61,6000
200	0,70	Matrix	DFS	233,8500
200	0,70	List	DFS	59,9500
